Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P010,6,1,Worst (not in list)
9653508,P029,3,0,
9653509,P011,1,0,
9653510,P013,4,0,
9653511,P016,2,0,
9653512,P013,2,0,
9653513,P010,1,0,
9653514,P034,1,0,
9653515,P021,4,0,
9653516,P023,6,1,Worst (not in list)
9653517,P029,6,1,Worst (not in list)
9653518,P029,1,0,
9653519,P035,2,0,
9653520,P025,1,0,
9653521,P018,6,1,Worst (not in list)
9653522,P027,1,0,
9653523,P036,6,1,Worst (not in list)
9653524,P002,5,0,
9653525,P009,5,0,
9653526,P002,2,0,
9653527,P012,1,0,
9653528,P026,6,1,Worst (not in list)
9653529,P031,3,0,
9653530,P013,6,0,Worst (in list)
9653531,P010,2,0,
9653532,P037,1,0,
9653533,P015,6,1,Worst (not in list)
9653534,P013,4,0,
9653535,P007,1,0,
9653536,P024,1,0,
9653537,P032,1,0,
9653538,P032,6,1,Worst (not in list)
9653539,P021,3,0,
9653540,P029,1,0,
9653541,P012,3,0,
9653542,P017,1,0,
9653543,P036,5,0,
9653544,P032,1,0,
9653545,P034,6,1,Worst (not in list)
9653546,P028,1,0,
9653547,P015,3,0,
9653548,P014,5,0,
9653549,P034,2,0,
9653550,P012,3,0,
9653551,P019,4,0,
9653552,P007,1,0,
9653553,P022,1,0,
9653554,P026,2,0,
9653555,P008,5,0,
9653556,P027,6,1,Worst (not in list)
9653557,P004,3,0,
9653558,P017,1,0,
9653559,P016,6,1,Worst (not in list)
9653560,P010,6,1,Worst (not in list)
9653561,P017,2,0,
9653562,P010,1,0,
9653563,P019,2,0,
9653564,P019,6,1,Worst (not in list)
9653565,P003,1,0,
9653566,P002,2,0,
9653567,P027,6,1,Worst (not in list)
9653568,P006,1,0,
9653569,P011,2,0,
9653570,P003,3,0,
9653571,P026,4,0,
9653572,P035,1,0,
9653573,P028,6,1,Worst (not in list)
9653574,P019,1,0,
9653575,P024,6,1,Worst (not in list)
9653576,P008,1,0,
9653577,P002,6,1,Worst (not in list)
9653578,P025,4,0,
9653579,P005,1,0,
9653580,P019,2,0,
9653581,P031,2,0,
9653582,P016,3,0,
9653583,P031,3,0,
9653584,P033,4,0,
9653585,P029,1,0,
9653586,P001,6,1,Worst (not in list)
9653587,P022,3,0,
9653588,P003,2,0,
9653589,P006,1,0,
9653590,P004,5,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P017,6,0,Worst (in list)
9653594,P030,1,0,
9653595,P023,3,0,
9653596,P013,3,0,
9653597,P025,2,0,
9653598,P004,4,0,
9653599,P037,3,0,
9653600,P007,1,0,
9653601,P006,2,0,
9653602,P033,5,0,
9653603,P011,1,0,
9653604,P005,2,0,
9653605,P008,5,0,
9653606,P024,1,0,
9653607,P002,2,0,
9653608,P020,1,0,
