Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P034,6,1,Worst (not in list)
9653508,P021,1,0,
9653509,P011,1,0,
9653510,P019,6,1,Worst (not in list)
9653511,P003,1,0,
9653512,P013,2,0,
9653513,P010,1,0,
9653514,P001,6,1,Worst (not in list)
9653515,P013,6,1,Worst (not in list)
9653516,P009,6,1,Worst (not in list)
9653517,P031,6,1,Worst (not in list)
9653518,P005,2,0,
9653519,P035,2,0,
9653520,P010,2,0,
9653521,P035,2,0,
9653522,P027,1,0,
9653523,P025,3,0,
9653524,P002,5,0,
9653525,P016,6,1,Worst (not in list)
9653526,P026,1,0,
9653527,P004,2,0,
9653528,P030,1,0,
9653529,P031,3,0,
9653530,P013,6,0,Worst (in list)
9653531,P016,3,0,
9653532,P037,1,0,
9653533,P026,6,1,Worst (not in list)
9653534,P027,6,1,Worst (not in list)
9653535,P023,5,0,
9653536,P024,1,0,
9653537,P032,1,0,
9653538,P036,6,1,Worst (not in list)
9653539,P018,2,0,
9653540,P029,1,0,
9653541,P023,6,0,Worst (in list)
9653542,P017,1,0,
9653543,P032,4,0,
9653544,P002,3,0,
9653545,P004,6,1,Worst (not in list)
9653546,P007,6,1,Worst (not in list)
9653547,P008,4,0,
9653548,P014,5,0,
9653549,P018,1,0,
9653550,P012,3,0,
9653551,P013,6,1,Worst (not in list)
9653552,P007,1,0,
9653553,P017,4,0,
9653554,P026,2,0,
9653555,P008,5,0,
9653556,P034,2,0,
9653557,P004,3,0,
9653558,P017,1,0,
9653559,P029,4,0,
9653560,P019,3,0,
9653561,P031,6,1,Worst (not in list)
9653562,P010,1,0,
9653563,P019,2,0,
9653564,P029,5,0,
9653565,P028,2,0,
9653566,P012,5,0,
9653567,P029,2,0,
9653568,P006,1,0,
9653569,P011,2,0,
9653570,P003,3,0,
9653571,P033,5,0,
9653572,P027,3,0,
9653573,P028,6,1,Worst (not in list)
9653574,P019,1,0,
9653575,P011,1,0,
9653576,P010,4,0,
9653577,P036,6,1,Worst (not in list)
9653578,P010,3,0,
9653579,P005,1,0,
9653580,P019,2,0,
9653581,P031,2,0,
9653582,P023,6,1,Worst (not in list)
9653583,P021,2,0,
9653584,P033,4,0,
9653585,P034,3,0,
9653586,P015,6,1,Worst (not in list)
9653587,P002,6,1,Worst (not in list)
9653588,P016,4,0,
9653589,P006,1,0,
9653590,P003,3,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P025,6,1,Worst (not in list)
9653594,P002,6,1,Worst (not in list)
9653595,P015,6,1,Worst (not in list)
9653596,P020,2,0,
9653597,P002,6,0,Worst (in list)
9653598,P025,6,1,Worst (not in list)
9653599,P037,3,0,
9653600,P029,4,0,
9653601,P006,2,0,
9653602,P033,5,0,
9653603,P011,1,0,
9653604,P013,6,1,Worst (not in list)
9653605,P008,5,0,
9653606,P024,1,0,
9653607,P022,6,1,Worst (not in list)
9653608,P020,1,0,
