Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P009,6,1,Worst (not in list)
9653508,P012,6,1,Worst (not in list)
9653509,P011,1,0,
9653510,P031,6,1,Worst (not in list)
9653511,P027,6,0,Worst (in list)
9653512,P037,1,0,
9653513,P025,6,1,Worst (not in list)
9653514,P034,1,0,
9653515,P019,6,1,Worst (not in list)
9653516,P016,6,1,Worst (not in list)
9653517,P013,6,1,Worst (not in list)
9653518,P029,1,0,
9653519,P035,2,0,
9653520,P010,2,0,
9653521,P035,2,0,
9653522,P015,6,1,Worst (not in list)
9653523,P015,5,0,
9653524,P032,4,0,
9653525,P011,3,0,
9653526,P002,2,0,
9653527,P004,2,0,
9653528,P030,1,0,
9653529,P031,3,0,
9653530,P005,2,0,
9653531,P010,2,0,
9653532,P029,6,1,Worst (not in list)
9653533,P002,5,0,
9653534,P033,6,1,Worst (not in list)
9653535,P007,1,0,
9653536,P024,1,0,
9653537,P024,4,0,
9653538,P002,6,1,Worst (not in list)
9653539,P028,1,0,
9653540,P029,1,0,
9653541,P023,6,0,Worst (in list)
9653542,P017,1,0,
9653543,P036,5,0,
9653544,P002,3,0,
9653545,P024,4,0,
9653546,P013,6,1,Worst (not in list)
9653547,P009,6,1,Worst (not in list)
9653548,P013,4,0,
9653549,P026,6,1,Worst (not in list)
9653550,P012,3,0,
9653551,P019,4,0,
9653552,P029,6,0,Worst (in list)
9653553,P022,1,0,
9653554,P033,6,1,Worst (not in list)
9653555,P008,5,0,
9653556,P013,6,1,Worst (not in list)
9653557,P014,5,0,
9653558,P017,1,0,
9653559,P034,6,1,Worst (not in list)
9653560,P023,6,1,Worst (not in list)
9653561,P013,3,0,
9653562,P010,1,0,
9653563,P019,2,0,
9653564,P004,6,1,Worst (not in list)
9653565,P021,3,0,
9653566,P018,3,0,
9653567,P007,6,1,Worst (not in list)
9653568,P031,2,0,
9653569,P011,2,0,
9653570,P003,3,0,
9653571,P006,6,1,Worst (not in list)
9653572,P027,3,0,
9653573,P028,6,1,Worst (not in list)
9653574,P001,6,1,Worst (not in list)
9653575,P011,1,0,
9653576,P016,6,1,Worst (not in list)
9653577,P001,6,1,Worst (not in list)
9653578,P025,4,0,
9653579,P027,3,0,
9653580,P019,2,0,
9653581,P031,2,0,
9653582,P016,3,0,
9653583,P021,2,0,
9653584,P026,6,1,Worst (not in list)
9653585,P034,3,0,
9653586,P036,6,1,Worst (not in list)
9653587,P026,1,0,
9653588,P003,2,0,
9653589,P018,6,1,Worst (not in list)
9653590,P004,5,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P032,2,0,
9653594,P017,2,0,
9653595,P005,1,0,
9653596,P020,2,0,
9653597,P025,2,0,
9653598,P003,6,1,Worst (not in list)
9653599,P037,3,0,
9653600,P007,1,0,
9653601,P029,6,1,Worst (not in list)
9653602,P018,6,0,Worst (in list)
9653603,P011,1,0,
9653604,P005,2,0,
9653605,P010,6,1,Worst (not in list)
9653606,P024,1,0,
9653607,P006,6,1,Worst (not in list)
9653608,P020,1,0,
