Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P019,4,0,
9653508,P030,2,0,
9653509,P011,1,0,
9653510,P010,5,0,
9653511,P016,2,0,
9653512,P013,2,0,
9653513,P010,1,0,
9653514,P001,6,1,Worst (not in list)
9653515,P031,6,1,Worst (not in list)
9653516,P036,1,0,
9653517,P031,6,1,Worst (not in list)
9653518,P029,1,0,
9653519,P035,2,0,
9653520,P025,1,0,
9653521,P035,2,0,
9653522,P027,1,0,
9653523,P023,1,0,
9653524,P002,5,0,
9653525,P011,3,0,
9653526,P002,2,0,
9653527,P012,1,0,
9653528,P022,3,0,
9653529,P031,3,0,
9653530,P013,6,0,Worst (in list)
9653531,P016,3,0,
9653532,P037,1,0,
9653533,P026,6,1,Worst (not in list)
9653534,P013,4,0,
9653535,P007,1,0,
9653536,P024,1,0,
9653537,P024,4,0,
9653538,P012,2,0,
9653539,P028,1,0,
9653540,P029,1,0,
9653541,P023,6,0,Worst (in list)
9653542,P017,1,0,
9653543,P006,1,0,
9653544,P032,1,0,
9653545,P020,3,0,
9653546,P028,1,0,
9653547,P008,4,0,
9653548,P014,5,0,
9653549,P034,2,0,
9653550,P036,6,1,Worst (not in list)
9653551,P019,4,0,
9653552,P016,6,1,Worst (not in list)
9653553,P022,1,0,
9653554,P033,6,1,Worst (not in list)
9653555,P013,6,1,Worst (not in list)
9653556,P011,6,1,Worst (not in list)
9653557,P004,3,0,
9653558,P017,1,0,
9653559,P015,6,1,Worst (not in list)
9653560,P019,3,0,
9653561,P013,3,0,
9653562,P010,1,0,
9653563,P029,3,0,
9653564,P029,5,0,
9653565,P003,1,0,
9653566,P002,2,0,
9653567,P004,6,1,Worst (not in list)
9653568,P006,1,0,
9653569,P027,4,0,
9653570,P003,3,0,
9653571,P026,4,0,
9653572,P027,3,0,
9653573,P018,5,0,
9653574,P019,1,0,
9653575,P011,1,0,
9653576,P008,1,0,
9653577,P026,6,1,Worst (not in list)
9653578,P010,3,0,
9653579,P005,1,0,
9653580,P034,6,1,Worst (not in list)
9653581,P031,2,0,
9653582,P021,1,0,
9653583,P025,4,0,
9653584,P033,4,0,
9653585,P029,1,0,
9653586,P010,2,0,
9653587,P002,6,1,Worst (not in list)
9653588,P015,6,0,Worst (in list)
9653589,P006,1,0,
9653590,P004,5,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P032,2,0,
9653594,P017,2,0,
9653595,P005,1,0,
9653596,P034,6,1,Worst (not in list)
9653597,P025,2,0,
9653598,P004,4,0,
9653599,P037,3,0,
9653600,P007,1,0,
9653601,P019,3,0,
9653602,P018,6,0,Worst (in list)
9653603,P009,6,1,Worst (not in list)
9653604,P011,6,1,Worst (not in list)
9653605,P008,5,0,
9653606,P024,1,0,
9653607,P002,2,0,
9653608,P020,1,0,
